Symbol,Company Name
RELIANCE,Reliance Industries Limited
HDFCBANK,HDFC Bank Limited
TCS,Tata Consultancy Services Limited
AIRTELPP,Bharti Airtel Limited
BHARTIARTL,Bharti Airtel Limited
ICICIBANK,ICICI Bank Limited
SBIN,State Bank of India
INFY,Infosys Limited
BAJFINANCE,Bajaj Finance Limited
HINDUNILVR,Hindustan Unilever Limited
ITC,ITC Limited
LICI,Life Insurance Corporation of India
LT,Larsen & Toubro Limited
SUNPHARMA,Sun Pharmaceutical Industries Limited
HCLTECH,HCL Technologies Limited
KOTAKBANK,Kotak Mahindra Bank Limited
MARUTI,Maruti Suzuki India Limited
AXISBANK,Axis Bank Limited
ULTRACEMCO,UltraTech Cement Limited
NTPC,NTPC Limited
M_M,Mahindra & Mahindra Limited
BAJAJFINSV,Bajaj Finserv Ltd.
HAL,Hindustan Aeronautics Limited
ONGC,Oil and Natural Gas Corporation Limited
TITAN,Titan Company Limited
ADANIPORTS,Adani Ports and Special Economic Zone Limited
ADANIENT,Adani Enterprises Limited
POWERGRID,Power Grid Corporation of India Limited
DMART,Avenue Supermarts Limited
WIPRO,Wipro Limited
TATAMOTORS,Tata Motors Limited
COALINDIA,Coal India Limited
JSWSTEEL,JSW Steel Limited
ASIANPAINT,Asian Paints Limited
BEL,Bharat Electronics Limited
NESTLEIND,Nestlé India Limited
ETERNAL,Eternal Limited
INDIGO,InterGlobe Aviation Limited
IOC,Indian Oil Corporation Limited
ADANIPOWER,Adani Power Limited
TRENT,Trent Limited
GRASIM,Grasim Industries Limited
HINDZINC,Hindustan Zinc Limited
TATASTEEL,Tata Steel Limited
VBL,Varun Beverages Limited
SBILIFE,SBI Life Insurance Company Limited
DLF,DLF Limited
JIOFIN,Jio Financial Services Limited
DIVISLAB,Divi's Laboratories Limited
IRFC,Indian Railway Finance Corporation Limited
VEDL,Vedanta Limited
HDFCLIFE,HDFC Life Insurance Company Limited
PIDILITIND,Pidilite Industries Limited
ADANIGREEN,Adani Green Energy Limited
EICHERMOT,Eicher Motors Limited
HYUNDAI,Hyundai Motor India Limited
HINDALCO,Hindalco Industries Limited
BPCL,Bharat Petroleum Corporation Limited
LTIM,LTIMindtree Limited
PFC,Power Finance Corporation Limited
LODHA,Macrotech Developers Limited
AMBUJACEM,Ambuja Cements Limited
BAJAJHLDNG,Bajaj Holdings & Investment Limited
TECHM,Tech Mahindra Limited
TVSMOTOR,TVS Motor Company Limited
GODREJCP,Godrej Consumer Products Limited
BRITANNIA,Britannia Industries Limited
BANKBARODA,Bank of Baroda Limited
CHOLAFIN,Cholamandalam Investment and Finance Company Limited
MAZDOCK,Mazagon Dock Shipbuilders Limited
GAIL,GAIL (India) Limited
TATAPOWER,The Tata Power Company Limited
CIPLA,Cipla Limited
SOLARINDS,Solar Industries India Limited
SHRIRAMFIN,Shriram Finance Limited
ABB,ABB India Limited
TATACONSUM,Tata Consumer Products Limited
PNB,Punjab National Bank
INDHOTEL,The Indian Hotels Company Limited
ADANIENSOL,Adani Energy Solutions Limited
UNITDSPR,United Spirits Limited
RECLTD,REC Limited
